Mix,Chronic,gameover step,rho,line
l2rpn_neurips_2020_track2_x3,Scenario_may_30,140,1.7390374,158
l2rpn_neurips_2020_track2_x3,Scenario_may_32,1281,2.9725752,48
l2rpn_neurips_2020_track2_x3,Scenario_may_42,711,2.4742675,158
l2rpn_neurips_2020_track2_x3,Scenario_may_43,429,2.4034297,158
l2rpn_neurips_2020_track2_x3,Scenario_may_45,413,2.2982793,158
l2rpn_neurips_2020_track2_x3,Scenario_may_47,119,2.8513927,48
l2rpn_neurips_2020_track2_x3,Scenario_november_03,333,1.3670532,56
l2rpn_neurips_2020_track2_x3,Scenario_november_05,437,1.1758131,65
l2rpn_neurips_2020_track2_x3,Scenario_november_16,4,1.3928188,125
l2rpn_neurips_2020_track2_x3,Scenario_november_21,339,1.1224449,65
l2rpn_neurips_2020_track2_x3,Scenario_november_30,95,1.0358263,83
l2rpn_neurips_2020_track2_x3,Scenario_november_32,7,1.2728261,78
l2rpn_neurips_2020_track2_x3,Scenario_november_42,4,1.9285359,43
l2rpn_neurips_2020_track2_x3,Scenario_november_43,476,1.042559,125
l2rpn_neurips_2020_track2_x3,Scenario_november_45,10,1.2830539,167
l2rpn_neurips_2020_track2_x3,Scenario_november_47,124,3.1515198,125
l2rpn_neurips_2020_track2_x3,Scenario_october_03,40,1.0181751,73
l2rpn_neurips_2020_track2_x3,Scenario_october_05,248,2.3409293,128
l2rpn_neurips_2020_track2_x3,Scenario_october_16,107,2.7811065,125
l2rpn_neurips_2020_track2_x3,Scenario_october_21,117,2.841329,125
l2rpn_neurips_2020_track2_x3,Scenario_october_30,402,2.871099,125
l2rpn_neurips_2020_track2_x3,Scenario_october_32,13,1.9736146,166
l2rpn_neurips_2020_track2_x3,Scenario_october_42,4,1.8622183,106
l2rpn_neurips_2020_track2_x3,Scenario_october_43,136,1.6982628,101
l2rpn_neurips_2020_track2_x3,Scenario_october_45,107,1.0471472,12
l2rpn_neurips_2020_track2_x3,Scenario_october_47,1511,1.7343907,101
l2rpn_neurips_2020_track2_x3,Scenario_september_03,707,1.4413134,14
l2rpn_neurips_2020_track2_x3,Scenario_september_05,131,1.9270637,158
l2rpn_neurips_2020_track2_x3,Scenario_september_16,1061,1.5042237,146
l2rpn_neurips_2020_track2_x3,Scenario_september_21,425,1.9422007,125
l2rpn_neurips_2020_track2_x3,Scenario_september_30,719,2.6619906,125
l2rpn_neurips_2020_track2_x3,Scenario_september_32,141,1.7693998,158
l2rpn_neurips_2020_track2_x3,Scenario_september_42,699,1.2987733,14
l2rpn_neurips_2020_track2_x3,Scenario_september_43,778,1.4965379,148
l2rpn_neurips_2020_track2_x3,Scenario_september_45,422,1.7388431,158
l2rpn_neurips_2020_track2_x3,Scenario_september_47,145,1.7876368,158
l2rpn_neurips_2020_track2_x3,Scenario_april_03,992,1.3288785,14
